Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,92.3,92.54,91.91,92.07,3005356.0,0.0,1.0,87.79744221000351,88.02573458411403,87.42646710207391,87.57866201814758,3005356.0
2017-12-27,92.49,92.75,91.93,92.1,4276664.0,0.0,1.0,87.978173672841,88.22549041146073,87.44549146658314,87.6071985649114,4276664.0
2017-12-26,92.35,92.77,92.15,92.48,3431941.0,0.0,1.0,87.84500312127653,88.24451477596993,87.65475947618444,87.9686614905864,3431941.0
2017-12-22,91.77,92.4318,91.72,92.13,4919306.0,0.0,1.0,87.29329655050944,87.9228127721192,87.24573563923643,87.63573511167522,4919306.0
2017-12-21,91.86,92.08,91.53,91.67,4432592.0,0.0,1.0,87.37890619080089,87.5881742004022,87.06500417639893,87.1981747279634,4432592.0
2017-12-20,91.87,91.97,91.35,91.53,6937739.0,0.0,1.0,87.3884183730555,87.48354019560155,86.89378489581604,87.06500417639893,6937739.0
2017-12-19,91.96,92.1306,91.58,91.68,5639938.0,0.0,1.0,87.47402801334694,87.6363058426105,87.11256508767195,87.20768691021802,5639938.0
2017-12-18,91.89,93.14,91.81,91.88,7405205.0,0.0,1.0,87.40744273756471,88.59646551939032,87.33134527952787,87.3979305553101,7405205.0
2017-12-15,91.6,92.27,91.48,91.89,15919915.0,0.0,1.0,87.13158945218116,87.76890566323969,87.0174432651259,87.40744273756471,15919915.0
2017-12-14,90.97,91.43,90.9,91.0,5853524.0,0.0,1.0,86.53232197014106,86.96988235385288,86.46573669435882,86.56085851690487,5853524.0
2017-12-13,90.02,91.41,89.965,90.88,7140717.0,0.0,1.0,85.62866465595359,86.95085798934366,85.57634765355326,86.4467123298496,7140717.0
2017-12-12,90.45,90.51,89.82,89.85,6558871.0,0.0,1.0,86.0376884929016,86.09476158642923,85.43842101086148,85.46695755762529,6558871.0
2017-12-11,90.23,90.33,89.7499,90.23,4855962.0,0.0,1.0,85.82842048330029,85.92354230584634,85.3717406132567,85.82842048330029,4855962.0
2017-12-08,90.02,90.37,89.58,90.37,5883357.0,0.0,1.0,85.62866465595359,85.96159103486477,85.21012863675097,85.96159103486477,5883357.0
2017-12-07,91.05,91.065,89.89,90.1,7274135.0,0.0,1.0,86.6084194281779,86.6226877015598,85.50500628664372,85.70476211399041,7274135.0
2017-12-06,91.5,91.78,91.07,91.25,6737358.0,0.0,1.0,87.03646762963511,87.30280873276405,86.6274437926871,86.79866307326999,6737358.0
2017-12-05,91.52,91.84,91.07,91.4,8683018.0,0.0,1.0,87.05549199414432,87.35988182629168,86.6274437926871,86.94134580708906,8683018.0
2017-12-04,90.17,91.91,89.83,91.41,9003692.0,0.0,1.0,85.77134738977266,87.42646710207391,85.44793319311609,86.95085798934366,9003692.0
2017-12-01,90.18,90.53,89.12,90.36,7953123.0,0.0,1.0,85.78085957202727,86.11378595093844,84.77256825303914,85.95207885261016,7953123.0
2017-11-30,89.35,90.37,89.21,89.99,9789833.0,0.0,1.0,84.99134844489505,85.96159103486477,84.85817789333058,85.60012810918977,9789833.0
2017-11-29,89.4,89.81,89.03,89.38,5158359.0,0.0,1.0,85.03890935616809,85.42890882860688,84.6869586127477,85.01988499165887,5158359.0
2017-11-28,89.48,89.52,88.91,89.4,4841259.0,0.0,1.0,85.11500681420492,85.15305554322333,84.57281242569243,85.03890935616809,4841259.0
2017-11-27,88.33,89.095,88.15,88.96,6199673.0,0.0,1.0,84.02110585492535,84.74878779740263,83.84988657434246,84.62037333696546,6199673.0
2017-11-24,88.59,88.96,88.42,88.45,2196665.0,0.0,1.0,84.26842259354508,84.62037333696546,84.1067154952168,84.1352520419806,2196665.0
2017-11-22,88.5,88.91,88.06,88.33,6006641.0,0.0,1.0,84.18281295325363,84.57281242569243,83.76427693405103,84.02110585492535,6006641.0
2017-11-21,88.18,89.21,88.02,88.72,6195791.0,0.0,1.0,83.87842312110628,84.85817789333058,83.7262282050326,84.39208096285495,6195791.0
2017-11-20,88.43,88.555,87.71,88.27,4926181.0,0.0,1.0,84.11622767747141,84.23512995565397,83.43135055513984,83.96403276139772,4926181.0
2017-11-17,88.95,89.09,88.08,88.43,5941753.0,0.0,1.0,84.61086115471086,84.74403170627534,83.78330129856023,84.11622767747141,5941753.0
2017-11-16,89.84,89.9,88.771,89.25,7094883.0,0.0,1.0,85.4574453753707,85.51451846889833,84.44059309235342,84.896226622349,7094883.0
2017-11-15,88.73,88.94,88.0,88.23,6688123.0,0.0,1.0,84.40159314510956,84.60134897245625,83.70720384052339,83.9259840323793,6688123.0
2017-11-14,88.74,89.045,88.47,88.87,5035525.0,0.0,1.0,84.41110532736415,84.7012268861296,84.15427640648981,84.53476369667402,5035525.0
2017-11-13,88.67,89.41,88.63,89.0,6873475.0,0.0,1.0,84.34452005158192,85.04842153842269,84.3064713225635,84.65842206598388,6873475.0
2017-11-10,87.99,88.39,87.78,88.16,7227298.0,0.0,1.0,83.69769165826878,84.07817894845299,83.49793583092209,83.85939875659706,7227298.0
2017-11-09,87.35,88.1698,87.3,87.78,5266358.0,0.0,1.0,83.08891199397407,83.86872069520658,83.04135108270104,83.49793583092209,5266358.0
2017-11-08,86.99,87.6,86.8,87.58,6867447.0,0.0,1.0,82.74647343280829,83.32671655033919,82.5657419699708,83.30769218582998,6867447.0
2017-11-07,86.04,87.0,85.42,86.98,6875128.0,0.0,1.0,81.84281611862083,82.7559856150629,81.25306081883532,82.73696125055369,6875128.0
2017-11-06,86.55,86.64,86.03,86.05,5186619.0,0.0,1.0,82.32793741360567,82.41354705389712,81.83330393636622,81.85232830087543,5186619.0
2017-11-03,86.78,87.16,86.46,86.58,5106355.0,0.0,1.0,82.5467176054616,82.90818053113657,82.24232777331423,82.35647396036948,5106355.0
2017-11-02,86.78,87.04,86.23,86.51,5021150.0,0.0,1.0,82.5467176054616,82.79403434408133,82.02354758145832,82.28988868458725,5021150.0
2017-11-01,86.33,87.14,86.11,86.89,4884052.0,0.0,1.0,82.11866940400436,82.88915616662736,81.90940139440306,82.65135161026224,4884052.0
2017-10-31,86.49,86.5,85.72,86.34,7118956.0,0.0,1.0,82.27086432007803,82.28037650233264,81.53842628647347,82.12818158625898,7118956.0
2017-10-30,86.91,87.08,86.16,86.27,5386886.0,0.0,1.0,82.67037597477145,82.83208307309974,81.95696230567607,82.06159631047673,5386886.0
2017-10-27,87.53,87.53,86.45,87.04,7433806.0,0.0,1.0,83.26013127455695,83.26013127455695,82.23281559105963,82.79403434408133,7433806.0
2017-10-26,87.19,87.77,87.1,87.5,6233831.0,0.0,1.0,82.93671707790038,83.48842364866748,82.85110743760895,83.23159472779314,6233831.0
2017-10-25,86.9,87.11,86.28,86.84,7183452.0,0.0,1.0,82.66086379251685,82.86061961986356,82.07110849273134,82.60379069898922,7183452.0
2017-10-24,87.37,87.42,86.78,86.98,11518538.0,0.0,1.0,83.10793635848329,83.15549726975631,82.5467176054616,82.73696125055369,11518538.0
2017-10-23,88.63,88.86,86.87,87.3,13357905.0,0.0,1.0,84.3064713225635,84.52525151441941,82.63232724575303,83.04135108270104,13357905.0
2017-10-20,89.72,89.96,87.59,88.25,19997800.0,0.0,1.0,85.34329918831544,85.57159156242595,83.31720436808459,83.94500839688851,19997800.0
2017-10-19,91.7,91.99,91.14,91.59,8583322.0,0.6896,1.0,87.22671127472722,87.50256456011076,86.69402906846933,87.12207726992656,8583322.0
2017-10-18,92.78,92.95,92.01,92.77,7399662.0,0.0,1.0,87.59450982778195,87.75500849851619,86.86754526033862,87.58506872950345,7399662.0
2017-10-17,93.04,93.09,92.4,92.8,5315962.0,0.0,1.0,87.83997838302255,87.88718387441497,87.23574809319952,87.6133920243389,5315962.0
2017-10-16,92.97,93.37,92.71,93.14,4159101.0,0.0,1.0,87.77389069507315,88.15153462621255,87.52842213983254,87.93438936580739,4159101.0
2017-10-13,92.7,93.51,92.59,93.04,6956386.0,0.0,1.0,87.51898104155407,88.28371000211133,87.41512896049073,87.83997838302255,6956386.0
2017-10-12,91.41,92.305,91.39,92.15,5984905.0,0.0,1.0,86.30107936362953,87.14605765955392,86.28219716707255,86.9997206362374,5984905.0
2017-10-11,91.09,91.73,91.07,91.46,7115398.0,0.0,1.0,85.99896421871802,86.60319450854104,85.98008202216103,86.34828485502194,7115398.0
2017-10-10,92.37,93.04,89.86,91.62,17125454.0,0.0,1.0,87.20742479836407,87.83997838302255,84.83770913046438,86.49934242747771,17125454.0
2017-10-09,92.4,92.62,91.93,92.12,5148962.0,0.0,1.0,87.23574809319952,87.44345225532619,86.79201647411074,86.97139734140195,5148962.0
2017-10-06,92.0,92.35,91.88,92.33,5241902.0,0.0,1.0,86.85810416206013,87.18854260180709,86.7448109827183,87.16966040525013,5241902.0
2017-10-05,92.49,92.65,91.94,92.03,6912759.0,0.0,1.0,87.32071797770588,87.47177555016164,86.80145757238921,86.88642745689558,6912759.0
2017-10-04,92.12,92.795,92.02,92.42,6140711.0,0.0,1.0,86.97139734140195,87.60867147519967,86.87698635861709,87.25463028975649,6140711.0
